slug,model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,canon_camera,10,1.0,80,0.8625,0.0,0.1375
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,calcium_bottle,10,0.9,80,0.875,0.0,0.025
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,training_marker_cone,10,0.9,80,0.9,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,lg_cell_phone,10,1.0,80,0.975,0.0,0.025
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,baseball,10,1.0,80,1.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,dymo_label_maker,10,1.0,80,1.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,hair_brush,10,1.0,80,1.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,pan,10,1.0,80,1.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,shoes,10,1.0,80,1.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,toy,10,1.0,80,1.0,0.0,0.0
