source_path,output_path,recipe,severity,app_or_pipeline,label,capture_device,capture_date,repeat_id,pipeline_variant,source_selection_id,notes
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_01/11442.jpg,messenger_upload_download,real,Messenger upload/download,baseball,,,rep_01,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_02/11442.jpg,messenger_upload_download,real,Messenger upload/download,baseball,,,rep_02,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_01/11442.jpg,phone_screenshot_resave,real,Phone screenshot/resave,baseball,,,rep_01,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_02/11442.jpg,phone_screenshot_resave,real,Phone screenshot/resave,baseball,,,rep_02,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_01/11442.jpg,video_call_frame_capture,real,Video-call or screen-share frame capture,baseball,,,rep_01,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_02/11442.jpg,video_call_frame_capture,real,Video-call or screen-share frame capture,baseball,,,rep_02,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/social_app_resave/rep_01/11442.jpg,social_app_resave,real,Social-app upload/preview/resave,baseball,,,rep_01,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/social_app_resave/rep_02/11442.jpg,social_app_resave,real,Social-app upload/preview/resave,baseball,,,rep_02,,rtv03_baseball_03,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_01/13590.jpg,messenger_upload_download,real,Messenger upload/download,baseball,,,rep_01,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_02/13590.jpg,messenger_upload_download,real,Messenger upload/download,baseball,,,rep_02,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_01/13590.jpg,phone_screenshot_resave,real,Phone screenshot/resave,baseball,,,rep_01,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_02/13590.jpg,phone_screenshot_resave,real,Phone screenshot/resave,baseball,,,rep_02,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_01/13590.jpg,video_call_frame_capture,real,Video-call or screen-share frame capture,baseball,,,rep_01,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_02/13590.jpg,video_call_frame_capture,real,Video-call or screen-share frame capture,baseball,,,rep_02,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/social_app_resave/rep_01/13590.jpg,social_app_resave,real,Social-app upload/preview/resave,baseball,,,rep_01,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/social_app_resave/rep_02/13590.jpg,social_app_resave,real,Social-app upload/preview/resave,baseball,,,rep_02,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13724.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_01/13724.jpg,messenger_upload_download,real,Messenger upload/download,baseball,,,rep_01,,rtv03_baseball_06,
data/raw/mini_cure_or/test/13724.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_02/13724.jpg,messenger_upload_download,real,Messenger upload/download,baseball,,,rep_02,,rtv03_baseball_06,
data/raw/mini_cure_or/test/13724.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_01/13724.jpg,phone_screenshot_resave,real,Phone screenshot/resave,baseball,,,rep_01,,rtv03_baseball_06,
