source_path,output_path,label,family,recipe,severity,params_json,source_metadata_json,app_or_pipeline,capture_device,capture_date,repeat_id,pipeline_variant,source_selection_id,notes
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_01/11442.jpg,baseball,real_transfer,messenger_upload_download,real,"{""app_or_pipeline"": ""Messenger upload/download"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_01"", ""source_selection_id"": ""rtv03_baseball_03""}","{""background"": ""1"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""11442"", ""image_path"": ""data/raw/mini_cure_or/test/11442.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""2"", ""split"": ""test""}",Messenger upload/download,,,rep_01,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_02/11442.jpg,baseball,real_transfer,messenger_upload_download,real,"{""app_or_pipeline"": ""Messenger upload/download"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_02"", ""source_selection_id"": ""rtv03_baseball_03""}","{""background"": ""1"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""11442"", ""image_path"": ""data/raw/mini_cure_or/test/11442.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""2"", ""split"": ""test""}",Messenger upload/download,,,rep_02,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_01/11442.jpg,baseball,real_transfer,phone_screenshot_resave,real,"{""app_or_pipeline"": ""Phone screenshot/resave"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_01"", ""source_selection_id"": ""rtv03_baseball_03""}","{""background"": ""1"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""11442"", ""image_path"": ""data/raw/mini_cure_or/test/11442.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""2"", ""split"": ""test""}",Phone screenshot/resave,,,rep_01,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_02/11442.jpg,baseball,real_transfer,phone_screenshot_resave,real,"{""app_or_pipeline"": ""Phone screenshot/resave"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_02"", ""source_selection_id"": ""rtv03_baseball_03""}","{""background"": ""1"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""11442"", ""image_path"": ""data/raw/mini_cure_or/test/11442.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""2"", ""split"": ""test""}",Phone screenshot/resave,,,rep_02,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_01/11442.jpg,baseball,real_transfer,video_call_frame_capture,real,"{""app_or_pipeline"": ""Video-call or screen-share frame capture"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_01"", ""source_selection_id"": ""rtv03_baseball_03""}","{""background"": ""1"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""11442"", ""image_path"": ""data/raw/mini_cure_or/test/11442.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""2"", ""split"": ""test""}",Video-call or screen-share frame capture,,,rep_01,,rtv03_baseball_03,
data/raw/mini_cure_or/test/11442.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_02/11442.jpg,baseball,real_transfer,video_call_frame_capture,real,"{""app_or_pipeline"": ""Video-call or screen-share frame capture"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_02"", ""source_selection_id"": ""rtv03_baseball_03""}","{""background"": ""1"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""11442"", ""image_path"": ""data/raw/mini_cure_or/test/11442.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""2"", ""split"": ""test""}",Video-call or screen-share frame capture,,,rep_02,,rtv03_baseball_03,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_01/13590.jpg,baseball,real_transfer,messenger_upload_download,real,"{""app_or_pipeline"": ""Messenger upload/download"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_01"", ""source_selection_id"": ""rtv03_baseball_05""}","{""background"": ""2"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""13590"", ""image_path"": ""data/raw/mini_cure_or/test/13590.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""5"", ""split"": ""test""}",Messenger upload/download,,,rep_01,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_02/13590.jpg,baseball,real_transfer,messenger_upload_download,real,"{""app_or_pipeline"": ""Messenger upload/download"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_02"", ""source_selection_id"": ""rtv03_baseball_05""}","{""background"": ""2"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""13590"", ""image_path"": ""data/raw/mini_cure_or/test/13590.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""5"", ""split"": ""test""}",Messenger upload/download,,,rep_02,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_01/13590.jpg,baseball,real_transfer,phone_screenshot_resave,real,"{""app_or_pipeline"": ""Phone screenshot/resave"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_01"", ""source_selection_id"": ""rtv03_baseball_05""}","{""background"": ""2"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""13590"", ""image_path"": ""data/raw/mini_cure_or/test/13590.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""5"", ""split"": ""test""}",Phone screenshot/resave,,,rep_01,,rtv03_baseball_05,
data/raw/mini_cure_or/test/13590.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_02/13590.jpg,baseball,real_transfer,phone_screenshot_resave,real,"{""app_or_pipeline"": ""Phone screenshot/resave"", ""capture_date"": """", ""capture_device"": """", ""notes"": """", ""pipeline_variant"": """", ""repeat_id"": ""rep_02"", ""source_selection_id"": ""rtv03_baseball_05""}","{""background"": ""2"", ""challenge_level"": ""0"", ""challenge_type"": ""1"", ""image_id"": ""13590"", ""image_path"": ""data/raw/mini_cure_or/test/13590.jpg"", ""label"": ""baseball"", ""object_id"": ""3"", ""perspective"": ""5"", ""split"": ""test""}",Phone screenshot/resave,,,rep_02,,rtv03_baseball_05,
